nameWithOwner;closedPRs;mergedPRs;totalPRs
ageitgey/face_recognition;93;94;187
ventoy/Ventoy;119;241;360
prometheus/prometheus;1421;5186;6607
microsoft/ML-For-Beginners;67;338;405
moment/moment;1259;712;1971
google/guava;1113;369;1482
soimort/you-get;354;570;924
jgthms/bulma;351;602;953
ReactiveX/RxJava;641;3126;3767
swisskyrepo/PayloadsAllTheThings;86;456;542
obsproject/obs-studio;1506;3670;5176
scrapy/scrapy;844;1939;2783
caddyserver/caddy;349;1571;1920
localstack/localstack;332;3296;3628
ocornut/imgui;637;299;936
prakhar1989/awesome-courses;55;194;249
jekyll/jekyll;1176;3075;4251
NARKOZ/hacker-scripts;48;63;111
Solido/awesome-flutter;439;419;858
excalidraw/excalidraw;724;2902;3626
wasabeef/awesome-android-ui;125;90;215
alacritty/alacritty;438;1540;1978
git/git;1138;3;1141
danielmiessler/SecLists;124;487;611
prettier/prettier;1133;7158;8291
fffaraz/awesome-cpp;148;552;700
juliangarnier/anime;64;72;136
yt-dlp/yt-dlp;369;1344;1713
Eugeny/tabby;2082;1346;3428
minimaxir/big-list-of-naughty-strings;33;90;123
nuxt/nuxt;674;2831;3505
serverless/serverless;784;4424;5208
JetBrains/kotlin;2896;2045;4941
deepfakes/faceswap;150;345;495
ziishaned/learn-regex;35;124;159
square/okhttp;718;3086;3804
tldr-pages/tldr;958;7877;8835
facebook/docusaurus;675;4637;5312
DefinitelyTyped/DefinitelyTyped;8654;46281;54935
meteor/meteor;1603;1855;3458
etcd-io/etcd;1764;7540;9304
cypress-io/cypress;1202;5223;6425
TryGhost/Ghost;2147;7742;9889
ryanoasis/nerd-fonts;42;291;333
Textualize/rich;217;695;912
iamkun/dayjs;162;641;803
aymericdamien/TensorFlow-Examples;24;88;112
algorithm-visualizer/algorithm-visualizer;41;182;223
vsouza/awesome-ios;451;2191;2642
android/architecture-samples;169;219;388
traefik/traefik;656;3756;4412
ColorlibHQ/AdminLTE;825;1227;2052
parcel-bundler/parcel;573;2117;2690
babel/babel;1064;5175;6239
v2ray/v2ray-core;320;203;523
bregman-arie/devops-exercises;49;227;276
mozilla/pdf.js;1037;6260;7297
JuliaLang/julia;4389;20824;25213
gogs/gogs;540;1562;2102
astaxie/build-web-application-with-golang;123;757;880
pi-hole/pi-hole;606;1620;2226
d2l-ai/d2l-zh;213;1016;1229
ethereum/go-ethereum;2344;6151;8495
facebook/jest;1438;5128;6566
square/retrofit;331;802;1133
yarnpkg/yarn;482;1652;2134
mastodon/mastodon;2009;11408;13417
k88hudson/git-flight-rules;61;216;277
2dust/v2rayN;105;88;193
CorentinJ/Real-Time-Voice-Cloning;64;48;112
